Model,Production Year,Number of Engines,Engine Type,Capacity,Range (km),Fuel Consumption (L/hour),Hourly Maintenance Cost ($),Age,Sales Region,Price ($)
Bombardier CRJ200,2002,2,Turbofan,50,3000,9.55,3998.18,21,Asya,15405916.31
Boeing 737,2019,2,Turbofan,162,5700,6.78,2793.88,4,Asya,117891871.95
Airbus A320,1991,2,Turbofan,180,6300,12.07,2548.33,32,Asya,63347937.46
Boeing 737,2001,2,Turbofan,162,5700,9.55,2812.57,22,Asya,73543773.64
Boeing 737,2018,2,Turbofan,162,5700,14.96,3405.62,5,Asya,105441750.37
Boeing 737,2013,2,Turbofan,162,5700,5.15,2315.69,10,Asya,111346725.29
Cessna 172,2003,1,Piston,4,1285,25.42,3341.75,20,Asya,260827.85
Boeing 737,2014,2,Turbofan,162,5700,8.66,725.48,9,Asya,100417467.58
Boeing 777,1998,2,Turbofan,396,15600,11.77,2667.67,25,Asya,360922883.12
Boeing 737,2002,2,Turbofan,162,5700,7.91,4307.93,21,Asya,73495869.83
Boeing 737,2011,2,Turbofan,162,5700,6.97,4533.64,12,Asya,104656045.74
Boeing 737,2013,2,Turbofan,162,5700,12.52,1780.55,10,Asya,117100740.48
Airbus A320,2000,2,Turbofan,180,6300,8.12,4412.57,23,Asya,83311565.22
Cessna 172,1980,1,Piston,4,1285,44.09,1267.24,43,Asya,221989.97
Boeing 737,1998,2,Turbofan,162,5700,7.57,1413.17,25,Asya,65733071.88
Boeing 777,2005,2,Turbofan,396,15600,8.54,932.05,18,Asya,518645975.34
Bombardier CRJ200,1994,2,Turbofan,50,3000,11.11,1710.73,29,Asya,12940089.47
Bombardier CRJ200,1987,2,Turbofan,50,3000,8.08,2743.37,36,Asya,13470547.25
Airbus A320,2011,2,Turbofan,180,6300,7.68,2738.35,12,Asya,119023076.79
Cessna 172,1996,1,Piston,4,1285,35.43,4869.46,27,Asya,225962.9
Bombardier CRJ200,2000,2,Turbofan,50,3000,9.95,4520.04,23,Asya,12874912.87
Boeing 777,1983,2,Turbofan,396,15600,10.82,4694.21,40,Asya,375886589.18
Cessna 172,2014,1,Piston,4,1285,16.42,1934.17,9,Asya,265314.59
Boeing 777,2003,2,Turbofan,396,15600,9.39,4958.26,20,Asya,501157866.92
Boeing 737,2016,2,Turbofan,162,5700,8.89,790.72,7,Asya,102779373.72
Airbus A350,2016,2,Turbofan,350,14800,12.35,1729.94,7,Asya,654236240.67
Airbus A320,2020,2,Turbofan,180,6300,14.93,1440.82,3,Asya,149035624.58
Cessna 172,2014,1,Piston,4,1285,39.06,3980.67,9,Asya,374794.08
Airbus A320,2010,2,Turbofan,180,6300,8.53,2364.35,13,Asya,119606809.09
Cessna 172,2020,1,Piston,4,1285,36.53,2059.88,3,Asya,470552.07
Bombardier CRJ200,1986,2,Turbofan,50,3000,3.52,4825.44,37,Asya,11919774.63
Boeing 737,1981,2,Turbofan,162,5700,4.99,3693.05,42,Asya,60626537.16
Boeing 737,2001,2,Turbofan,162,5700,6.16,1111.58,22,Asya,70493949.46
Airbus A320,2008,2,Turbofan,180,6300,10.7,4607.97,15,Asya,105286733.5
Airbus A350,1989,2,Turbofan,350,14800,7.32,3775.06,34,Asya,413249556.89
Boeing 737,2016,2,Turbofan,162,5700,10.94,2717.96,7,Asya,121288950.17
Boeing 777,2012,2,Turbofan,396,15600,14.64,4604.14,11,Asya,651957128.33
Boeing 737,1988,2,Turbofan,162,5700,5.05,2736.94,35,Asya,59737077.67
Cessna 172,1995,1,Piston,4,1285,42.24,2173.46,28,Asya,239090.45
Boeing 777,2022,2,Turbofan,396,15600,2.62,1493.17,1,Asya,722569994.1
Cessna 172,1987,1,Piston,4,1285,24.66,4249.15,36,Asya,187620.98
Boeing 737,1985,2,Turbofan,162,5700,7.51,3432.14,38,Asya,65106370.48
Cessna 172,1980,1,Piston,4,1285,47.09,2850.17,43,Asya,177217.74
Boeing 737,1983,2,Turbofan,162,5700,12.83,2919.34,40,Asya,59826814.24
Airbus A350,2006,2,Turbofan,350,14800,9.24,2443.66,17,Asya,545077195.42
Boeing 777,1992,2,Turbofan,396,15600,11.22,4749.79,31,Asya,330014745.21
Airbus A350,2011,2,Turbofan,350,14800,2.69,1246.23,12,Asya,536718050.79
Airbus A350,1984,2,Turbofan,350,14800,2.82,2117.69,39,Asya,374878918.34
Cessna 172,2010,1,Piston,4,1285,21.59,3213.03,13,Asya,314047.69
Boeing 777,2012,2,Turbofan,396,15600,8.35,2448.26,11,Asya,618745508.37
Bombardier CRJ200,1997,2,Turbofan,50,3000,10.48,4974.94,26,Asya,10315342.06
Airbus A320,2020,2,Turbofan,180,6300,3.62,4185.27,3,Asya,147220010.33
Cessna 172,2018,1,Piston,4,1285,41.05,3154.82,5,Asya,353753.7
Boeing 777,1981,2,Turbofan,396,15600,6.42,3562.81,42,Asya,341565485.86
Boeing 777,1981,2,Turbofan,396,15600,8.43,2319.69,42,Asya,379794508.08
Boeing 737,2012,2,Turbofan,162,5700,9.81,4300.29,11,Asya,108569043.29
Airbus A320,1995,2,Turbofan,180,6300,5.88,785.31,28,Asya,75176603.17
Airbus A320,1995,2,Turbofan,180,6300,5.73,3172.91,28,Asya,77019537.96
Boeing 777,2011,2,Turbofan,396,15600,13.78,2331.29,12,Asya,650967501.91
Boeing 777,2008,2,Turbofan,396,15600,4.11,2776.24,15,Asya,508145121.04
Airbus A320,1991,2,Turbofan,180,6300,11.78,2613.42,32,Asya,68429889.81
Boeing 737,2004,2,Turbofan,162,5700,12.68,4691.21,19,Asya,73422891.93
Airbus A320,2012,2,Turbofan,180,6300,13.33,1484.51,11,Asya,103373134.83
Boeing 737,2019,2,Turbofan,162,5700,10.97,1124.56,4,Asya,94496045.81
Airbus A350,2003,2,Turbofan,350,14800,9.6,3922.05,20,Asya,389064452.42
Boeing 737,1999,2,Turbofan,162,5700,4.92,2896.85,24,Asya,70150288.31
Airbus A320,1980,2,Turbofan,180,6300,3.16,1288.9,43,Asya,78612509.44
Cessna 172,2010,1,Piston,4,1285,35.14,1915.53,13,Asya,316548.1
Airbus A350,1981,2,Turbofan,350,14800,10.73,4247.41,42,Asya,406979607.53
Airbus A350,1991,2,Turbofan,350,14800,3.38,4163.81,32,Asya,342330066.91
Bombardier CRJ200,2008,2,Turbofan,50,3000,11.36,3603.53,15,Asya,16771243.88
Boeing 737,2013,2,Turbofan,162,5700,9.17,1362.17,10,Asya,89380061.96
Boeing 737,2012,2,Turbofan,162,5700,2.3,4805.04,11,Asya,92783487.88
Airbus A350,1989,2,Turbofan,350,14800,4.83,2920.62,34,Asya,319349508.6
Cessna 172,2020,1,Piston,4,1285,28.82,2471.45,3,Asya,437230.9
Airbus A320,1981,2,Turbofan,180,6300,6.94,1754.28,42,Asya,89942009.53
Boeing 737,1998,2,Turbofan,162,5700,6.57,3363.96,25,Asya,74981964.2
Boeing 737,2004,2,Turbofan,162,5700,12.37,2814.11,19,Asya,80970585.01
Boeing 777,2014,2,Turbofan,396,15600,11.6,1454.8,9,Asya,781348337.18
Bombardier CRJ200,2020,2,Turbofan,50,3000,10.0,4874.82,3,Asya,23217025.05
Airbus A350,1986,2,Turbofan,350,14800,3.01,793.55,37,Asya,349663385.03
Airbus A350,1995,2,Turbofan,350,14800,3.18,1459.56,28,Asya,412085897.79
Cessna 172,2016,1,Piston,4,1285,13.78,2469.69,7,Asya,397031.99
Bombardier CRJ200,2007,2,Turbofan,50,3000,2.14,3603.99,16,Asya,15049219.7
Cessna 172,2007,1,Piston,4,1285,13.69,1614.03,16,Asya,259581.49
Airbus A320,1987,2,Turbofan,180,6300,11.26,895.36,36,Asya,71794373.65
Boeing 737,2015,2,Turbofan,162,5700,7.14,3846.68,8,Asya,103981814.16
Bombardier CRJ200,2005,2,Turbofan,50,3000,7.39,1986.16,18,Asya,16762465.24
Airbus A350,1993,2,Turbofan,350,14800,8.9,3640.82,30,Asya,368698808.3
Boeing 777,2006,2,Turbofan,396,15600,4.75,4719.44,17,Asya,490689303.02
Boeing 777,2011,2,Turbofan,396,15600,9.35,876.39,12,Asya,562951745.08
Airbus A350,2018,2,Turbofan,350,14800,7.05,2983.53,5,Asya,569484142.69
Boeing 737,1996,2,Turbofan,162,5700,5.41,4244.4,27,Asya,65660397.55
Airbus A320,1997,2,Turbofan,180,6300,13.06,3211.04,26,Asya,69653664.27
Boeing 737,2003,2,Turbofan,162,5700,10.78,2947.17,20,Asya,80523394.83
Boeing 777,1988,2,Turbofan,396,15600,6.18,1053.0,35,Asya,383711114.39
Cessna 172,1983,1,Piston,4,1285,18.53,3233.67,40,Asya,192405.45
Boeing 777,2000,2,Turbofan,396,15600,11.77,4859.32,23,Asya,410095523.37
Boeing 737,1994,2,Turbofan,162,5700,5.8,622.57,29,Asya,61961858.52
Bombardier CRJ200,1990,2,Turbofan,50,3000,9.18,2280.97,33,Asya,11472447.52
Cessna 172,2015,1,Piston,4,1285,20.43,964.74,8,Asya,295808.27
Boeing 737,2019,2,Turbofan,162,5700,8.43,2319.4,4,Asya,111629908.05
Cessna 172,1984,1,Piston,4,1285,26.75,3681.72,39,Asya,263713.94
Airbus A320,1995,2,Turbofan,180,6300,13.53,2594.03,28,Asya,75205507.67
Airbus A320,1990,2,Turbofan,180,6300,14.28,4993.94,33,Asya,74084494.36
Cessna 172,1982,1,Piston,4,1285,44.18,3986.87,41,Asya,206933.83
Airbus A350,1988,2,Turbofan,350,14800,10.68,2391.93,35,Asya,374055967.17
Boeing 737,1993,2,Turbofan,162,5700,12.27,3569.57,30,Asya,79224035.02
Airbus A350,1992,2,Turbofan,350,14800,2.54,827.11,31,Asya,403827560.08
Cessna 172,2010,1,Piston,4,1285,44.27,3026.16,13,Asya,351622.8
Cessna 172,1990,1,Piston,4,1285,49.42,3646.58,33,Asya,210966.09
Airbus A350,2012,2,Turbofan,350,14800,7.96,1559.23,11,Asya,522236884.94
Airbus A320,1980,2,Turbofan,180,6300,7.58,3713.55,43,Asya,89133883.75
Bombardier CRJ200,2010,2,Turbofan,50,3000,2.99,4508.89,13,Asya,17322366.81
Bombardier CRJ200,2011,2,Turbofan,50,3000,4.73,3136.72,12,Asya,18235759.49
Airbus A320,1994,2,Turbofan,180,6300,10.11,1596.7,29,Asya,80833109.81
Airbus A350,2005,2,Turbofan,350,14800,5.5,2411.78,18,Asya,489788812.79
Airbus A350,1989,2,Turbofan,350,14800,8.79,783.62,34,Asya,334042584.46
Boeing 777,1999,2,Turbofan,396,15600,2.2,4267.29,24,Asya,408008445.52
Airbus A350,2022,2,Turbofan,350,14800,7.17,2753.05,1,Asya,596402481.53
Airbus A350,2010,2,Turbofan,350,14800,5.87,2789.83,13,Asya,563282620.58
Boeing 777,2003,2,Turbofan,396,15600,12.79,1216.22,20,Asya,474192108.55
Cessna 172,2004,1,Piston,4,1285,47.42,1408.56,19,Asya,223403.4
Boeing 737,1985,2,Turbofan,162,5700,7.32,1523.64,38,Asya,64251473.04
Cessna 172,1985,1,Piston,4,1285,17.4,1614.41,38,Asya,197455.98
Airbus A350,2011,2,Turbofan,350,14800,5.62,2259.81,12,Asya,576585301.38
Cessna 172,2013,1,Piston,4,1285,39.7,1120.1,10,Asya,335045.92
Bombardier CRJ200,2012,2,Turbofan,50,3000,3.53,2865.14,11,Asya,20618394.44
Bombardier CRJ200,1998,2,Turbofan,50,3000,13.86,4505.64,25,Asya,10878732.76
Airbus A320,1989,2,Turbofan,180,6300,9.64,4321.23,34,Asya,75268106.26
Boeing 737,1989,2,Turbofan,162,5700,12.57,3428.59,34,Asya,75024579.8
Boeing 777,1984,2,Turbofan,396,15600,11.51,2699.63,39,Asya,336368238.48
Boeing 777,2006,2,Turbofan,396,15600,8.53,3268.05,17,Asya,503865404.56
Airbus A320,2006,2,Turbofan,180,6300,11.94,1769.01,17,Asya,91926299.65
Boeing 777,2001,2,Turbofan,396,15600,6.33,4944.65,22,Asya,507729556.36
Cessna 172,2009,1,Piston,4,1285,30.2,525.89,14,Asya,269074.35
Boeing 777,2001,2,Turbofan,396,15600,7.35,2725.34,22,Asya,443306955.53
Boeing 777,2021,2,Turbofan,396,15600,3.93,4777.81,2,Asya,835036409.02
Airbus A320,2005,2,Turbofan,180,6300,8.71,2892.84,18,Asya,107361093.59
Airbus A350,1983,2,Turbofan,350,14800,7.89,3213.74,40,Asya,358620342.6
Cessna 172,2022,1,Piston,4,1285,44.08,2229.43,1,Asya,349620.8
Bombardier CRJ200,1992,2,Turbofan,50,3000,11.9,3030.0,31,Asya,10458965.77
Bombardier CRJ200,2007,2,Turbofan,50,3000,9.84,4397.8,16,Asya,15490911.37
Airbus A350,1981,2,Turbofan,350,14800,4.43,3549.81,42,Asya,337115153.68
Airbus A320,2003,2,Turbofan,180,6300,11.24,2409.97,20,Asya,99367566.12
Airbus A350,2012,2,Turbofan,350,14800,12.04,1506.54,11,Asya,544810776.52
Airbus A320,1982,2,Turbofan,180,6300,11.08,2009.58,41,Asya,92887652.03
Airbus A350,1992,2,Turbofan,350,14800,11.99,3164.01,31,Asya,269688841.9
Cessna 172,2002,1,Piston,4,1285,41.07,906.66,21,Asya,294763.61
Boeing 737,1988,2,Turbofan,162,5700,2.51,2783.54,35,Asya,68066416.28
Cessna 172,2001,1,Piston,4,1285,18.18,3147.46,22,Asya,283784.2
Boeing 737,1986,2,Turbofan,162,5700,3.24,1582.02,37,Asya,63512234.71
Cessna 172,2018,1,Piston,4,1285,28.28,1023.83,5,Asya,385073.85
Boeing 777,1987,2,Turbofan,396,15600,10.88,3838.47,36,Asya,411671324.66
Airbus A320,2017,2,Turbofan,180,6300,12.15,4865.46,6,Asya,144838459.87
Boeing 737,2005,2,Turbofan,162,5700,8.15,1219.41,18,Asya,84209912.13
Boeing 777,2006,2,Turbofan,396,15600,13.64,3865.25,17,Asya,539491368.36
Airbus A350,2014,2,Turbofan,350,14800,13.87,4577.72,9,Asya,519643637.09
Cessna 172,1995,1,Piston,4,1285,25.54,927.0,28,Asya,195555.17
Boeing 737,2020,2,Turbofan,162,5700,3.11,2058.23,3,Asya,110377045.88
Airbus A320,2006,2,Turbofan,180,6300,3.29,3521.88,17,Asya,114623795.25
Cessna 172,1995,1,Piston,4,1285,46.66,3970.4,28,Asya,192713.95
Boeing 737,2016,2,Turbofan,162,5700,3.87,2619.8,7,Asya,103925721.2
Bombardier CRJ200,2021,2,Turbofan,50,3000,7.17,4014.64,2,Asya,26800105.73
Boeing 737,1996,2,Turbofan,162,5700,4.2,2527.1,27,Asya,57118912.39
Airbus A320,2006,2,Turbofan,180,6300,11.05,3542.01,17,Asya,91152212.84
Bombardier CRJ200,1989,2,Turbofan,50,3000,6.39,2332.12,34,Asya,11555274.24
Bombardier CRJ200,2005,2,Turbofan,50,3000,5.93,806.6,18,Asya,14418113.21
Boeing 737,2016,2,Turbofan,162,5700,8.45,1261.69,7,Asya,89050678.37
Airbus A320,1991,2,Turbofan,180,6300,6.52,3420.24,32,Asya,76608158.56
Airbus A320,2000,2,Turbofan,180,6300,5.59,4132.22,23,Asya,92962832.25
Cessna 172,1987,1,Piston,4,1285,40.0,838.31,36,Asya,221407.05
Airbus A320,1982,2,Turbofan,180,6300,5.31,3514.12,41,Asya,61261718.78
Boeing 737,1988,2,Turbofan,162,5700,6.07,4240.35,35,Asya,68052936.19
Airbus A320,2014,2,Turbofan,180,6300,5.96,3567.23,9,Asya,125159296.53
Bombardier CRJ200,1988,2,Turbofan,50,3000,2.27,4318.87,35,Asya,11233277.21
Cessna 172,2015,1,Piston,4,1285,29.08,3369.86,8,Asya,353183.3
Airbus A320,2020,2,Turbofan,180,6300,10.45,520.74,3,Asya,120334805.53
Boeing 777,1981,2,Turbofan,396,15600,11.38,2562.19,42,Asya,452873392.75
Airbus A320,2010,2,Turbofan,180,6300,2.29,1633.73,13,Asya,120423461.0
Bombardier CRJ200,2018,2,Turbofan,50,3000,4.55,1579.29,5,Asya,22465995.45
Airbus A350,2009,2,Turbofan,350,14800,10.41,2642.23,14,Asya,541053140.88
Boeing 737,2018,2,Turbofan,162,5700,3.82,949.4,5,Asya,112081823.33
Bombardier CRJ200,2001,2,Turbofan,50,3000,7.33,3294.0,22,Asya,14119391.44
Airbus A350,2016,2,Turbofan,350,14800,10.97,2283.26,7,Asya,758135346.1
Boeing 777,2013,2,Turbofan,396,15600,7.37,2307.28,10,Asya,692456656.44
Boeing 777,1990,2,Turbofan,396,15600,4.37,4181.43,33,Asya,361938896.38
Cessna 172,2012,1,Piston,4,1285,18.2,802.29,11,Asya,357891.96
Bombardier CRJ200,2001,2,Turbofan,50,3000,8.19,931.15,22,Asya,11413928.75
Boeing 737,1985,2,Turbofan,162,5700,5.93,4313.08,38,Asya,56632356.15
Boeing 737,2014,2,Turbofan,162,5700,13.1,4943.12,9,Asya,90556787.52
Boeing 737,2006,2,Turbofan,162,5700,8.73,3394.86,17,Asya,71370476.77
Bombardier CRJ200,1984,2,Turbofan,50,3000,14.92,931.81,39,Asya,11607716.7
Boeing 777,2004,2,Turbofan,396,15600,14.1,2728.86,19,Asya,478321818.79
Cessna 172,2013,1,Piston,4,1285,12.6,2030.04,10,Asya,428076.65
Cessna 172,2013,1,Piston,4,1285,27.25,3727.42,10,Asya,358385.64
Boeing 777,2018,2,Turbofan,396,15600,11.87,4210.59,5,Asya,703487110.49
Bombardier CRJ200,2006,2,Turbofan,50,3000,2.94,2144.54,17,Asya,18066031.42
Boeing 777,1988,2,Turbofan,396,15600,9.08,2575.41,35,Asya,402841152.63
Boeing 777,2006,2,Turbofan,396,15600,12.17,2718.99,17,Asya,380931466.01
Boeing 737,1996,2,Turbofan,162,5700,8.2,1790.33,27,Asya,65923326.66
Airbus A320,2007,2,Turbofan,180,6300,14.53,4670.82,16,Asya,108282402.79
Boeing 737,1992,2,Turbofan,162,5700,9.16,2698.53,31,Asya,63344438.47
Airbus A350,2016,2,Turbofan,350,14800,4.91,1863.13,7,Asya,644878972.36
Bombardier CRJ200,1982,2,Turbofan,50,3000,5.45,1562.12,41,Asya,13011736.7
Cessna 172,1987,1,Piston,4,1285,28.1,3491.59,36,Asya,216224.13
Cessna 172,1991,1,Piston,4,1285,39.03,1996.81,32,Asya,190123.88
Boeing 737,1998,2,Turbofan,162,5700,6.29,4242.44,25,Asya,56797002.51
Airbus A350,2001,2,Turbofan,350,14800,9.19,2951.26,22,Asya,448113876.91
Bombardier CRJ200,1997,2,Turbofan,50,3000,12.62,948.96,26,Asya,11772632.35
Boeing 777,2020,2,Turbofan,396,15600,8.34,4438.87,3,Asya,666938864.49
Airbus A320,1980,2,Turbofan,180,6300,10.55,1800.4,43,Asya,84712741.11
Boeing 737,1983,2,Turbofan,162,5700,10.52,3818.69,40,Asya,59715436.43
Boeing 737,1983,2,Turbofan,162,5700,10.26,1540.94,40,Asya,56254227.37
Airbus A350,2013,2,Turbofan,350,14800,8.08,3584.88,10,Asya,592777065.6
Bombardier CRJ200,1989,2,Turbofan,50,3000,3.47,4792.84,34,Asya,11779083.91
Airbus A350,1990,2,Turbofan,350,14800,8.66,1377.32,33,Asya,315111570.08
Airbus A320,2002,2,Turbofan,180,6300,2.8,3618.89,21,Asya,91541211.93
Cessna 172,2018,1,Piston,4,1285,13.56,4853.42,5,Asya,411488.4
Bombardier CRJ200,1986,2,Turbofan,50,3000,11.72,2184.96,37,Asya,12351335.42
Cessna 172,1990,1,Piston,4,1285,35.45,507.67,33,Asya,242592.92
Boeing 777,2017,2,Turbofan,396,15600,5.56,1014.48,6,Asya,833900950.0
Boeing 777,1998,2,Turbofan,396,15600,9.71,1248.17,25,Asya,417170375.2
Bombardier CRJ200,1996,2,Turbofan,50,3000,6.38,4708.36,27,Asya,12281239.68
Cessna 172,1995,1,Piston,4,1285,39.48,4917.42,28,Asya,221923.57
Cessna 172,1989,1,Piston,4,1285,28.73,2549.52,34,Asya,182980.85
Cessna 172,1989,1,Piston,4,1285,40.47,2876.12,34,Asya,242771.09
Bombardier CRJ200,2003,2,Turbofan,50,3000,9.93,2434.33,20,Asya,15507926.87
Bombardier CRJ200,1991,2,Turbofan,50,3000,4.12,2564.66,32,Asya,11212105.03
Boeing 777,2014,2,Turbofan,396,15600,12.43,3504.51,9,Asya,828517365.74
Airbus A320,1988,2,Turbofan,180,6300,10.18,4877.01,35,Asya,66747197.84
Cessna 172,2020,1,Piston,4,1285,12.4,3661.59,3,Asya,355354.31
Boeing 737,2019,2,Turbofan,162,5700,2.52,3380.99,4,Asya,123087358.64
Airbus A320,2003,2,Turbofan,180,6300,14.69,4988.96,20,Asya,79948202.53
Bombardier CRJ200,1997,2,Turbofan,50,3000,5.89,3912.85,26,Asya,11424023.88
Cessna 172,2016,1,Piston,4,1285,38.02,2242.21,7,Asya,290609.12
Boeing 777,1994,2,Turbofan,396,15600,14.0,4154.2,29,Asya,442366597.62
Cessna 172,2016,1,Piston,4,1285,19.99,608.63,7,Asya,441004.27
Airbus A350,1990,2,Turbofan,350,14800,12.63,2139.82,33,Asya,383146114.37
Boeing 777,1982,2,Turbofan,396,15600,2.55,2724.79,41,Asya,435412683.64
Boeing 777,2009,2,Turbofan,396,15600,11.11,1889.69,14,Asya,553883559.49
Bombardier CRJ200,2013,2,Turbofan,50,3000,2.54,920.66,10,Asya,18475260.16
Boeing 777,1982,2,Turbofan,396,15600,11.18,1586.67,41,Asya,388378704.32
Bombardier CRJ200,2021,2,Turbofan,50,3000,10.02,2342.61,2,Asya,23665363.36
Boeing 777,1985,2,Turbofan,396,15600,12.27,4550.11,38,Asya,422234514.96
Airbus A350,2015,2,Turbofan,350,14800,7.9,4526.77,8,Asya,687969721.07
Cessna 172,1987,1,Piston,4,1285,44.56,2154.27,36,Asya,213702.94
Boeing 737,1988,2,Turbofan,162,5700,7.56,1742.32,35,Asya,65066794.45
Airbus A320,2021,2,Turbofan,180,6300,13.07,4002.63,2,Asya,160050699.0
Boeing 777,2000,2,Turbofan,396,15600,3.42,1774.62,23,Asya,362551550.45
Boeing 777,2010,2,Turbofan,396,15600,3.81,4146.12,13,Asya,667572883.53
Boeing 777,1993,2,Turbofan,396,15600,11.83,1077.12,30,Asya,433528051.92
Bombardier CRJ200,2014,2,Turbofan,50,3000,14.53,3388.49,9,Asya,16474552.11
Cessna 172,1985,1,Piston,4,1285,44.82,3713.22,38,Asya,179228.59
Airbus A350,1980,2,Turbofan,350,14800,10.92,1321.69,43,Asya,327822051.05
Bombardier CRJ200,2008,2,Turbofan,50,3000,9.04,609.07,15,Asya,17317889.5
Bombardier CRJ200,2017,2,Turbofan,50,3000,14.82,1478.72,6,Asya,23020400.63
Boeing 737,1990,2,Turbofan,162,5700,6.98,1699.29,33,Asya,65669526.55
Boeing 737,2023,2,Turbofan,162,5700,14.67,3503.88,0,Asya,146203314.33
Airbus A320,1991,2,Turbofan,180,6300,5.37,1526.69,32,Asya,70672966.81
Airbus A350,1983,2,Turbofan,350,14800,2.79,915.67,40,Asya,387867467.88
Cessna 172,2000,1,Piston,4,1285,12.69,3519.19,23,Asya,233521.56
Cessna 172,1985,1,Piston,4,1285,26.75,1808.15,38,Asya,255776.19
Boeing 777,2022,2,Turbofan,396,15600,14.24,3337.87,1,Asya,800302210.11
Boeing 737,2018,2,Turbofan,162,5700,6.05,4725.01,5,Asya,102926083.86
Airbus A320,2005,2,Turbofan,180,6300,7.58,819.19,18,Asya,100623108.24
Bombardier CRJ200,2023,2,Turbofan,50,3000,11.81,3682.43,0,Asya,27901931.47
Airbus A320,1982,2,Turbofan,180,6300,4.71,2100.28,41,Asya,79564064.99
Bombardier CRJ200,1993,2,Turbofan,50,3000,9.57,856.25,30,Asya,11552181.16
Airbus A320,2014,2,Turbofan,180,6300,12.8,1883.64,9,Asya,129490956.48
Boeing 777,1991,2,Turbofan,396,15600,10.68,3024.08,32,Asya,396332557.82
Boeing 737,1998,2,Turbofan,162,5700,3.87,1007.98,25,Asya,67450160.26
Airbus A350,1988,2,Turbofan,350,14800,14.09,2923.45,35,Asya,337092957.21
Bombardier CRJ200,2021,2,Turbofan,50,3000,4.98,3779.63,2,Asya,20399108.2
Boeing 737,1996,2,Turbofan,162,5700,4.85,3107.78,27,Asya,61626421.68
Bombardier CRJ200,1989,2,Turbofan,50,3000,6.37,2640.02,34,Asya,12093580.48
Airbus A320,2010,2,Turbofan,180,6300,10.3,3536.91,13,Asya,124311008.79
Cessna 172,2019,1,Piston,4,1285,40.99,2649.26,4,Asya,395899.89
Airbus A350,2017,2,Turbofan,350,14800,7.53,1050.14,6,Asya,708637746.77
Bombardier CRJ200,1998,2,Turbofan,50,3000,10.94,1956.26,25,Asya,12348688.76
Airbus A320,1983,2,Turbofan,180,6300,12.43,3528.06,40,Asya,77356824.85
Boeing 737,1987,2,Turbofan,162,5700,5.08,668.15,36,Asya,66692965.38
Cessna 172,1983,1,Piston,4,1285,20.3,1425.97,40,Asya,242385.62
Cessna 172,1987,1,Piston,4,1285,18.36,4175.61,36,Asya,239954.99
Boeing 737,2014,2,Turbofan,162,5700,4.42,3093.67,9,Asya,100179776.74
Boeing 737,1995,2,Turbofan,162,5700,14.16,3232.89,28,Asya,71734074.47
Airbus A350,1991,2,Turbofan,350,14800,2.9,2946.02,32,Asya,391401425.59
Bombardier CRJ200,1992,2,Turbofan,50,3000,9.21,952.1,31,Asya,10741165.34
Boeing 737,2015,2,Turbofan,162,5700,4.42,3624.32,8,Asya,109632917.06
Airbus A350,1981,2,Turbofan,350,14800,11.04,761.14,42,Asya,379948584.19
Airbus A350,2007,2,Turbofan,350,14800,7.38,649.98,16,Asya,461112125.28
Cessna 172,1981,1,Piston,4,1285,47.11,2374.37,42,Asya,223669.92
Boeing 777,2016,2,Turbofan,396,15600,10.87,3903.98,7,Asya,768712578.25
Bombardier CRJ200,1998,2,Turbofan,50,3000,8.88,833.02,25,Asya,13277088.68
Airbus A350,2004,2,Turbofan,350,14800,5.58,3413.06,19,Asya,489350242.95
Cessna 172,2016,1,Piston,4,1285,19.67,2863.22,7,Asya,350752.79
Cessna 172,2008,1,Piston,4,1285,12.46,4369.53,15,Asya,260269.35
Cessna 172,1990,1,Piston,4,1285,30.78,2751.01,33,Asya,244055.57
Boeing 737,2006,2,Turbofan,162,5700,9.63,3446.95,17,Asya,92249362.23
Boeing 737,2014,2,Turbofan,162,5700,6.21,2509.9,9,Asya,101697748.98
Bombardier CRJ200,2012,2,Turbofan,50,3000,13.74,3394.21,11,Asya,17374225.41
Airbus A320,1990,2,Turbofan,180,6300,8.93,3753.05,33,Asya,77323001.92
Airbus A320,1983,2,Turbofan,180,6300,11.79,4007.41,40,Asya,84372887.39
Boeing 777,2014,2,Turbofan,396,15600,6.03,1660.14,9,Asya,626696533.8
Airbus A350,2022,2,Turbofan,350,14800,3.64,986.31,1,Asya,855379195.22
Cessna 172,2005,1,Piston,4,1285,28.6,4063.53,18,Asya,264338.44
Bombardier CRJ200,2022,2,Turbofan,50,3000,11.15,4056.44,1,Asya,23778519.55
Boeing 737,1997,2,Turbofan,162,5700,4.16,919.68,26,Asya,59093639.98
Airbus A350,2002,2,Turbofan,350,14800,8.48,4350.33,21,Asya,432068986.98
Boeing 737,2008,2,Turbofan,162,5700,4.18,1724.9,15,Asya,90736788.7
Boeing 737,2007,2,Turbofan,162,5700,13.67,1419.8,16,Asya,76147792.27
Cessna 172,1984,1,Piston,4,1285,35.47,1478.77,39,Asya,206756.56
Airbus A320,2006,2,Turbofan,180,6300,6.51,2036.25,17,Asya,91199487.92
Bombardier CRJ200,2006,2,Turbofan,50,3000,8.47,4124.17,17,Asya,15070280.55
Cessna 172,2012,1,Piston,4,1285,45.43,3167.28,11,Asya,357594.32
Airbus A320,1996,2,Turbofan,180,6300,8.43,1708.75,27,Asya,83429781.95
